time,actuator_1_input,actuator_2_input,actuator_3_input,cs19_pos_x,cs19_pos_y,cs19_pos_z,tip_pos_x,tip_pos_y,tip_pos_z
1769011080.3817227,0.0,0.0,0.0,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1769011080.7113774,0.0,0.0,0.0,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1769011081.0435886,0.0,0.0,0.0,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1769011081.3772604,0.0,0.0,0.0,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1769011081.7104325,0.0,0.0,0.0,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1769011082.1527452,0.04898976231143528,0.035386523631228205,0.0011037843176526637,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1769011082.2584803,0.189058851947535,0.1365619104172036,0.004259669491076412,-2.4462324390926993e-06,-5.957355048831659e-06,-0.19037309253658175,-2.186116665810912e-05,-2.8937329406507253e-05,-0.3907658193670509
1769011082.3489907,0.4121517311267336,0.29770744508722397,0.009286156859040242,-4.6979708448897486e-05,-5.207418913777688e-05,-0.19038387884382044,-0.00021697378880946105,-0.00023098655986343648,-0.3907878228378217
1769011082.448011,0.7105087923647233,0.5132181701837101,0.01600841534157543,-0.0003731258606157655,-0.0003898153826110219,-0.19041338981203315,-0.0015927696058461434,-0.0016556928345475214,-0.39084160348350916
1769011082.5453312,1.0760868299610973,0.777284278204864,0.024245224130560374,-0.0008033286218440715,-0.0008353124383664722,-0.1904454172135189,-0.0034026180178908867,-0.0035298819931867823,-0.3908828909581944
1769011082.6621323,1.501298142968975,1.084424984060189,0.0338256253581254,-0.0011868597586643969,-0.001232478753322262,-0.1904817384060578,-0.00502661766060034,-0.005211615282442556,-0.3909203641712518
1769011082.7492123,1.9772574946981587,1.4282222603237116,0.04454942648496148,-0.0016198927510716282,-0.001680906771143359,-0.19052159119800519,-0.006861489579610756,-0.00711171704717893,-0.3909430680214153
1769011082.8446949,2.497293344514343,1.803857087282461,0.056266311576079676,-0.0022770934700788066,-0.0023614716871203202,-0.19056084144122992,-0.00962830620674571,-0.009976893087726252,-0.3909004240481795
1769011082.9449754,3.0531497211617142,2.2053659715827574,0.06879026602007554,-0.002898650468777944,-0.003005125748045351,-0.19059836486668724,-0.012250221033222628,-0.012692015733208578,-0.3908224070676358
1769011083.0449424,3.636055976959973,2.6264136562901608,0.08192367907322616,-0.0035209873552852784,-0.003649587438873272,-0.1906340366680181,-0.014877693767586807,-0.01541289374394463,-0.3907028198149937
1769011083.1445253,4.238839250017714,3.061819004880469,0.09550493957240544,-0.0041870707458251,-0.00433935088045489,-0.1906649569876637,-0.01768647711129193,-0.018321528138375686,-0.39051880924950744
1769011083.2455435,4.853568745208156,3.505853406804724,0.10935535942290887,-0.004874253655882521,-0.005050964084471995,-0.1906902747637863,-0.02058145056282579,-0.021319417842237783,-0.3902708357238256
1769011083.3443546,5.472185392377207,3.9526955952717016,0.12329336037590972,-0.005564479996246922,-0.0057657291478223635,-0.19070972060273986,-0.02348666719029296,-0.024327917015505397,-0.3899637909347345
1769011083.4452868,6.0871509860089335,4.396900536971567,0.1371490997410345,-0.00625978199721702,-0.006485750670499739,-0.19072232421295274,-0.026409144189064496,-0.027354293504810036,-0.3895940764762257
1769011083.5446424,6.689284908504667,4.831836843502407,0.15071572977594563,-0.006930645257608999,-0.007180465077086454,-0.19072969122107752,-0.02922648249270957,-0.030271798324714633,-0.3891833358356964
1769011083.644526,7.272976243773754,5.253451610635527,0.16386683139027977,-0.007608726339876705,-0.007882654667292514,-0.1907284878456529,-0.032067126237276276,-0.03321344343548306,-0.38870729974814866
1769011083.749432,7.82743737556049,5.653952674875005,0.17635934968672576,-0.008171128553787503,-0.008465052814148699,-0.19073058233491014,-0.03442767852339834,-0.035657933638894135,-0.3882834399522044
1769011083.8471496,8.347332147713955,6.029485597929548,0.1880730561685931,-0.008711408489158447,-0.009024542830080813,-0.19072697330530258,-0.03669024236966257,-0.038000957601010944,-0.3878365786305425
1769011083.9489398,8.82240679768062,6.372643832108584,0.19877692415256024,-0.009200304692183255,-0.009530822991182714,-0.1907200015947833,-0.03873419039794918,-0.040117597865104965,-0.387400627559378
1769011084.0493066,9.246497894361196,6.678975377852332,0.20833208587790863,-0.009956128862377286,-0.010313524705997897,-0.1906772342469186,-0.041860992823616335,-0.043355614041632046,-0.38662453780738754
1769011084.1447463,9.611073034715131,6.94231706825448,0.2165462984713582,-0.010425177022378187,-0.010799253033342825,-0.19065822886583847,-0.04380939493962801,-0.04537333008714453,-0.38612764645505054
1769011084.244347,9.908354161048548,7.157050618812248,0.22324431515278126,-0.010786558870542189,-0.011173488019601534,-0.19064499352708242,-0.045311948295825716,-0.04692935195650224,-0.3857322709162474
1769011084.34593,10.130078047160344,7.31720729574455,0.22823995785019605,-0.011136536919576816,-0.011535915646773379,-0.1906243057030166,-0.04675863573247836,-0.04842752547628601,-0.3853236698055067
1769011084.4443283,10.268613418714411,7.417274839818236,0.2313612869472729,-0.011373857036769734,-0.011781676466876157,-0.19061134607000227,-0.047740553888801544,-0.04944438534299492,-0.38504152566510697
