Target_X,Target_Y,MIL_Land_X,MIL_Land_Y,MIL_Error,MIL_Vx,MIL_Vy,MIL_Vz,MIL_Vmag,Sim_Land_X,Sim_Land_Y,Sim_Error,Sim_Vx,Sim_Vy,Sim_Vz,Sim_Vmag
0.33697,0.05339,0.3370833778030333,0.0535057298748094,0.00016201212962017552,0.7509922049939632,0.0663045234978199,0.13294070959091187,0.7655447825336562,0.428614302537287,0.06791788474094013,0.09278867184409867,0.95090369537017,0.09621338099759902,0.11337248837457681,0.962459440013904
0.03956,0.23281,0.023680313026458552,0.19720695288944237,0.03898386104446617,0.0636336556635797,0.27166545391082764,0.05715131759643555,0.28481157645835903,0.031236848684727342,0.1964495729829237,0.037300878014881314,0.07356600906563199,0.27046023637979505,0.07989167379308493,0.2914504703957775
-0.16181,-0.32614,-0.16185987927031542,-0.3263294059155478,0.00019586358122864936,-0.3780040331184864,-0.732403751462698,0.11795878410339355,0.8325962880998367,-0.21133080478516436,-0.4106661506788073,0.09796417842837653,-0.483874721425906,-0.907697879099086,0.1171312529705254,1.0352632110620092
0.34014,0.20679,0.3401430868373317,0.20679788171563085,8.464632655813097e-06,0.7998456805944443,0.4663784708827734,0.13108223676681519,0.9351173956591413,0.4369030261306455,0.2733459791341516,0.11744267360915116,1.0164705447213949,0.6180802335818029,0.09480012548165606,1.193407980207139
0.27826,0.05271,0.21191577465095904,0.05453774620163196,0.06636939726516967,0.45992683357326314,0.04239846020936966,0.0669434666633606,0.46670306341158946,0.24890039391355892,0.050698111123453724,0.029428458444209393,0.5441420186331509,0.03434236210712996,0.050893565624111625,0.5475948221990355
-0.21524,-0.00725,-0.21523198307566613,-0.00724755439754976,8.381649427137921e-06,-0.49693699926137924,0.0006155809387564659,0.05482107400894165,0.4999521080366499,-0.2543338141073961,-0.004123606707061759,0.0392186261422525,-0.5945941519910128,0.019026297557749993,0.024305290191716233,0.5953947872730926
0.03794,0.11391,0.03796391150127568,0.11396179277015872,5.704604222880819e-05,0.04138348624110222,0.12590523809194565,0.018028318881988525,0.13375254088864139,0.038651621644258366,0.1033649606131544,0.010569023655697913,0.03874817657860099,0.10739764380949104,0.023329808167636967,0.11653306411974025
-0.3301,-0.09577,-0.33022443039083643,-0.09593310281772895,0.0002051473892469264,-0.7441791333258152,-0.2707846206612885,0.09683877229690552,0.7978124097080787,-0.38793656522293407,-0.12474719522344092,0.06468961369342156,-0.8863850740458009,-0.325874752588283,0.05957419617526827,0.9462673716849714
-0.18296,-0.11493,-0.18291801874278538,-0.114931513096223,4.2008516011653953e-05,-0.35832667723298073,-0.20892534404993057,0.09979695081710815,0.4266230636001796,-0.1846476781852509,-0.11642018553808346,0.002251424125944475,-0.35646180741403893,-0.20012515186297097,0.06908259293456565,0.41459317553431035
0.38006,0.01553,0.3798955780464087,0.015435987038010392,0.00018940173136704696,0.889352597296238,0.09542405605316162,0.09989559650421143,0.9000182903653311,0.47968438433753724,0.04965535215305242,0.10530696849783101,1.1146551047676538,0.17241482659022597,0.06755303136813384,1.1299319833776507
