Target_X,Target_Y,MIL_Land_X,MIL_Land_Y,MIL_Error,Sim_Land_X,Sim_Land_Y,Sim_Error
0.20616,0.03267,0.10763811995912803,0.036377031361218316,0.09859159664140259,0.1086641776070861,0.03152929109140852,0.09750249535722022
0.02619,0.15412,0.02672788862366777,0.1537128350277506,0.000674616547453489,0.022350450644137744,0.15253205587156982,0.0041549615896080425
-0.09805,-0.19762,-0.09930397455864479,-0.19838279008428453,0.0014677536940546946,-0.11157829928499896,-0.22733410992648548,0.03264878573956108
0.20372,0.12385,0.20371865945864964,0.12385012552880457,1.3464058054051733e-06,0.23793042406364312,0.14392658760355478,0.039666389858638525
0.17617,0.03337,0.1762076243311251,0.032738819802710026,0.0006323005865437886,0.20128934016424618,0.03626350380297518,0.02528544273974541
-0.14647,-0.00493,-0.14647560342558036,-0.004936234257768641,8.38238320291989e-06,-0.1142039628435822,-0.004571179570419415,0.03226803225918832
0.03372,0.10127,0.0337230406397094,0.10126743737414683,3.9764985987328006e-06,0.04033424119122324,0.10109685070746399,0.006616507176235806
-0.20173,-0.05853,-0.20193298734180365,-0.055656568421744074,0.00288059245570262,-0.20948626989714497,-0.06348628854005944,0.009204592267432707
-0.12437,-0.07813,-0.12347372982663557,-0.0775709690884572,0.0010563218182557206,-0.10143557540612758,-0.08361052028774507,0.023580159755107796
0.22893,0.00935,0.1273852602065923,0.006000438989675744,0.10159996918637702,0.12886923229969433,0.002254356200672906,0.10031204012331453
-0.07321,-0.21667,-0.07321427433008001,-0.21667204231275647,4.737186826395043e-06,-0.08756557090460192,-0.26304540806156507,0.04854648173527848
0.09341,0.13834,0.0894557466752053,0.13164731620034656,0.0077735536145828125,0.08082612225932068,0.11185509815548736,0.02932241471478489
-0.12706,0.21002,-0.1270641933890342,0.21001270902037478,8.410879590613784e-06,-0.12760621885414142,0.22690672348219632,0.016895555184745472
0.10011,0.06962,0.10010955588541129,0.0696201913913049,4.83599420494014e-07,0.09866245026534262,0.06372205248575241,0.006072988153711975
-0.18559,-0.14159,-0.18558983811766938,-0.14158952712614709,4.998155357052176e-07,-0.2046976167183294,-0.16164655348129578,0.02770137820041918
-0.02907,-0.227,-0.029066021561070722,-0.22701416393098744,1.4712067065197734e-05,-0.03403680931237201,-0.2627646203312626,0.036107855962170136
0.19255,-0.03284,0.12795373055547743,-0.03336636081383923,0.06459841392678078,0.14283279842947577,-0.04141654277963325,0.05045153335682689
-0.16368,-0.05551,-0.16367766848544466,-0.055504239419453066,6.21451915753925e-06,-0.17273598186172812,-0.06132602334260585,0.010762756849510486
-0.17015,-0.15683,-0.17019979994053985,-0.15678081706716035,6.999282077815286e-05,-0.1922705197414995,-0.18250034495707002,0.033886339487307265
-0.20781,-0.10979,-0.207824929515836,-0.10976119585201227,3.244332572959368e-05,-0.19688049683381664,-0.11020391521881896,0.010937338125338444
0.20785,0.06155,0.07963823598580055,0.05084621879845067,0.12865779169425928,0.07966436736042101,0.0458902609990139,0.12913862257585104
-0.0363,0.14369,-0.03630686353980937,0.14368498147556613,8.502574093079937e-06,-0.032425605911957006,0.1243428182046094,0.01973130439107755
0.01285,0.11842,0.013053254665321137,0.11835691756023611,0.00021281882713089867,0.015867359962491855,0.10954512264909644,0.009373788409006779
-0.02163,0.1218,-0.021630400435113745,0.12180139317487228,1.449580803214907e-06,-0.014255047709195405,0.10868851332233892,0.01504330429759792
-0.13756,0.15637,-0.1375592015390228,0.1563691644215024,1.1557384469610884e-06,-0.14963892259655365,0.1802694291262501,0.02677840704101321
0.04318,0.16604,0.043099823886783684,0.16606129074616643,8.295483712719784e-05,0.04629580335766541,0.15463603864807848,0.011821952676261164
0.14286,-0.06006,0.1428502213015858,-0.060057646227950526,1.0057991128267044e-05,0.13290138867852547,-0.08865119410442358,0.0302759032857655
-0.16239,-0.13286,-0.16238701487761714,-0.13285598067860172,5.006585677229437e-06,-0.1649964522544087,-0.13912954375351794,0.006789754946372357
-0.01802,-0.1366,-0.01801996242860345,-0.1365999932162089,3.817891644340237e-08,-0.01389987599418491,-0.13346189499819122,0.005179104635520609
-0.09904,0.09365,-0.09904028061769207,0.0936041174737195,4.588338440187355e-05,-0.08781981536882603,0.07614185876384409,0.020794892466728828
-0.15865,-0.19178,-0.15863933506283928,-0.19178597554730484,1.2224894692169453e-05,-0.1807420867190083,-0.2232503998575554,0.03845057038321544
-0.07911,-0.18161,-0.08080848093998619,-0.18169487794973935,0.0017006004145149213,-0.0916833358788213,-0.21039988384357983,0.03141569968739315
0.03788,-0.22981,0.03788362444838499,-0.22981386655230565,5.299703088654513e-06,0.04337884916496376,-0.27564595794328695,0.04616462263159738
0.1454,0.02973,0.14540326771934406,0.02972920110446178,3.3639595408561094e-06,0.14200453655189144,0.02541759245209759,0.005488718510421806
-0.01813,0.16196,-0.018131987524289118,0.16195332854358144,6.9612199753001085e-06,-0.015707375768711278,0.13957244034397281,0.02251825782599984
0.13594,-0.05097,0.13755919411583728,-0.05044041424914501,0.001703599322690255,0.12807403359828984,-0.05129051906612374,0.007872493880885652
-0.09355,0.21739,-0.09329315330641183,0.2173551888918196,0.0002591949792336266,-0.0940762594171672,0.24226373725482878,0.024879303728127404
-0.16703,0.1285,-0.16703123387656266,0.12849746091097516,2.8230169053518695e-06,-0.1713669758325077,0.12603766973416214,0.004987226655147827
-0.23286,0.06158,-0.23284982491592607,0.06156957967218929,1.4564187845346513e-05,-0.22121660607115337,0.05823850324837039,0.012113390224188027
0.00328,0.15458,0.003318483400749982,0.15438174030066576,0.00020196009633931453,0.003798693653779825,0.13693156221926783,0.017656058427827144
-0.01589,0.19804,-0.029908312305216782,0.12683676725274082,0.07257005879525628,-0.022105740208833394,0.11491445121153863,0.08335761685488961
0.16156,-0.12079,0.16155964805669992,-0.12079139595494197,1.43963685924518e-06,0.15737596610056398,-0.13180584294774284,0.011783672412323993
0.03371,0.17272,0.03338273328120958,0.1719947034063447,0.0007957126705010011,0.04366447169354007,0.19089246636666912,0.02072028089928345
-0.24929,-0.01494,-0.24922189300028696,-0.01499508480725616,8.759508776387657e-05,-0.27670097106619185,-0.020970408226646066,0.028066477480645956
0.11626,0.03546,0.1162576237146585,0.03546243476584858,3.40217823778254e-06,0.1250255688847744,0.034061685894650015,0.008876400183122983
